date,month,year
7/1/20,7,2020
7/2/20,7,2020
7/3/20,7,2020
7/4/20,7,2020
7/5/20,7,2020
7/6/20,7,2020
7/7/20,7,2020
7/8/20,7,2020
7/9/20,7,2020
7/10/20,7,2020
7/11/20,7,2020
7/12/20,7,2020
7/13/20,7,2020
7/14/20,7,2020
7/15/20,7,2020
7/16/20,7,2020
7/17/20,7,2020
7/18/20,7,2020
7/19/20,7,2020
7/20/20,7,2020
7/21/20,7,2020
7/22/20,7,2020
7/23/20,7,2020
7/24/20,7,2020
7/25/20,7,2020
7/26/20,7,2020
7/27/20,7,2020
7/28/20,7,2020
7/29/20,7,2020
7/30/20,7,2020
7/31/20,7,2020
8/1/20,8,2020
8/2/20,8,2020
8/3/20,8,2020
8/4/20,8,2020
8/5/20,8,2020
8/6/20,8,2020
8/7/20,8,2020
8/8/20,8,2020
8/9/20,8,2020
8/10/20,8,2020
8/11/20,8,2020
8/12/20,8,2020
8/13/20,8,2020
8/14/20,8,2020
8/15/20,8,2020
8/16/20,8,2020
8/17/20,8,2020
8/18/20,8,2020
8/19/20,8,2020
8/20/20,8,2020
8/21/20,8,2020
8/22/20,8,2020
8/23/20,8,2020
8/24/20,8,2020
8/25/20,8,2020
8/26/20,8,2020
8/27/20,8,2020
8/28/20,8,2020
8/29/20,8,2020
8/30/20,8,2020
8/31/20,8,2020
9/1/20,9,2020
9/2/20,9,2020
9/3/20,9,2020
9/4/20,9,2020
9/5/20,9,2020
9/6/20,9,2020
9/7/20,9,2020
9/8/20,9,2020
9/9/20,9,2020
9/10/20,9,2020
9/11/20,9,2020
9/12/20,9,2020
9/13/20,9,2020
9/14/20,9,2020
9/15/20,9,2020
9/16/20,9,2020
9/17/20,9,2020
9/18/20,9,2020
9/19/20,9,2020
9/20/20,9,2020
9/21/20,9,2020
9/22/20,9,2020
9/23/20,9,2020
9/24/20,9,2020
9/25/20,9,2020
9/26/20,9,2020
9/27/20,9,2020
9/28/20,9,2020
9/29/20,9,2020
9/30/20,9,2020
10/1/20,10,2020
10/2/20,10,2020
10/3/20,10,2020
10/4/20,10,2020
10/5/20,10,2020
10/6/20,10,2020
10/7/20,10,2020
10/8/20,10,2020
10/9/20,10,2020
10/10/20,10,2020
10/11/20,10,2020
10/12/20,10,2020
10/13/20,10,2020
10/14/20,10,2020
10/15/20,10,2020
10/16/20,10,2020
10/17/20,10,2020
10/18/20,10,2020
10/19/20,10,2020
10/20/20,10,2020
10/21/20,10,2020
10/22/20,10,2020
10/23/20,10,2020
10/24/20,10,2020
10/25/20,10,2020
10/26/20,10,2020
10/27/20,10,2020
10/28/20,10,2020
10/29/20,10,2020
10/30/20,10,2020
10/31/20,10,2020
11/1/20,11,2020
11/2/20,11,2020
11/3/20,11,2020
11/4/20,11,2020
11/5/20,11,2020
11/6/20,11,2020
11/7/20,11,2020
11/8/20,11,2020
11/9/20,11,2020
11/10/20,11,2020
11/11/20,11,2020
11/12/20,11,2020
11/13/20,11,2020
11/14/20,11,2020
11/15/20,11,2020
11/16/20,11,2020
11/17/20,11,2020
11/18/20,11,2020
11/19/20,11,2020
11/20/20,11,2020
11/21/20,11,2020
11/22/20,11,2020
11/23/20,11,2020
11/24/20,11,2020
11/25/20,11,2020
11/26/20,11,2020
11/27/20,11,2020
11/28/20,11,2020
11/29/20,11,2020
11/30/20,11,2020
12/1/20,12,2020
12/2/20,12,2020
12/3/20,12,2020
12/4/20,12,2020
12/5/20,12,2020
12/6/20,12,2020
12/7/20,12,2020
12/8/20,12,2020
12/9/20,12,2020
12/10/20,12,2020
12/11/20,12,2020
12/12/20,12,2020
12/13/20,12,2020
12/14/20,12,2020
12/15/20,12,2020
12/16/20,12,2020
12/17/20,12,2020
12/18/20,12,2020
12/19/20,12,2020
12/20/20,12,2020
12/21/20,12,2020
12/22/20,12,2020
12/23/20,12,2020
12/24/20,12,2020
12/25/20,12,2020
12/26/20,12,2020
12/27/20,12,2020
12/28/20,12,2020
12/29/20,12,2020
12/30/20,12,2020
12/31/20,12,2020
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
